item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
inform_charley,charley,inform,62,low_prior,Charley lives in Korea,block2,0.86,0.24,0.51,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.16769531250000003,0.12390625,0.5099609375,0.8585937499999999
inform_charley,charley,inform,183,low_prior,Charley lives in Korea,block2,0.01,0,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.4076953125,-0.72609375,0.001953125,0.011914062500000001
inform_charley,charley,inform,205,high_prior,Charley lives in Mexico,block2,1,0.97,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5623046875,0.26390625,0.9582031249999999,0.998046875
inform_charley,charley,inform,220,low_prior,Charley lives in Korea,block2,0.99,0.53,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.12230468750000001,0.25390625,0.9482421875,0.9880859375
inform_charley,charley,inform,229,high_prior,Charley lives in Mexico,block2,0.92,0.7,0.67,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.29230468749999994,0.18390625000000005,0.6693359375000001,0.9183593750000001
inform_charley,charley,inform,298,high_prior,Charley lives in Mexico,block2,0.14,0.77,0.8,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3623046875,-0.59609375,0.798828125,0.14140625
inform_charley,charley,inform,307,low_prior,Charley lives in Korea,block2,0.96,0.19,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.21769531250000002,0.22390624999999997,0.9880859375,0.9582031249999999
inform_charley,charley,inform,308,high_prior,Charley lives in Mexico,block2,0.75,1,0.68,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5923046875,0.013906250000000009,0.679296875,0.7490234375
inform_charley,charley,inform,386,low_prior,Charley lives in Korea,block2,0.16000000000000003,0.37,0.52,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.03769531250000002,-0.57609375,0.519921875,0.16132812500000004
inform_charley,charley,inform,393,low_prior,Charley lives in Korea,block2,0.98,0.43,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.022304687499999976,0.24390625,0.9681640625,0.978125
inform_charley,charley,inform,426,high_prior,Charley lives in Mexico,block2,1,1,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5923046875,0.26390625,0.8984375,0.998046875
inform_charley,charley,inform,525,high_prior,Charley lives in Mexico,block2,0.97,0.99,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5823046875,0.23390624999999998,0.978125,0.9681640625
inform_charley,charley,inform,549,low_prior,Charley lives in Korea,block2,0.69,0.21,0.35,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.19769531250000003,-0.046093750000000044,0.3505859375,0.6892578125
inform_charley,charley,inform,550,low_prior,Charley lives in Korea,block2,1,0.13,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.2776953125,0.26390625,0.998046875,0.998046875
inform_charley,charley,inform,551,low_prior,Charley lives in Korea,block2,0.51,0.21,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.19769531250000003,-0.22609374999999998,0.978125,0.5099609375
inform_charley,charley,inform,582,high_prior,Charley lives in Mexico,block2,0.78,0.98,0.85,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5723046875,0.043906250000000036,0.8486328125,0.77890625
inform_danny,danny,inform,6,low_prior,Danny is a diabetic,block2,1,0.49,0.63,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.08230468749999997,0.26390625,0.6294921875,0.998046875
inform_danny,danny,inform,8,low_prior,Danny is a diabetic,block2,1,0.09,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.31769531250000005,0.26390625,0.998046875,0.998046875
inform_danny,danny,inform,52,low_prior,Danny is a diabetic,block2,0.9,0.18,0.86,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.22769531250000002,0.16390625000000003,0.8585937499999999,0.8984375
inform_danny,danny,inform,63,low_prior,Danny is a diabetic,block2,1,0.1,0.8,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.30769531250000004,0.26390625,0.798828125,0.998046875
inform_danny,danny,inform,68,low_prior,Danny is a diabetic,block2,0.98,0.27,0.18,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.1376953125,0.24390625,0.18125,0.978125
inform_danny,danny,inform,77,high_prior,Danny loves cake,block2,0.98,0.49,0.99,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.08230468749999997,0.24390625,0.9880859375,0.978125
inform_danny,danny,inform,78,high_prior,Danny loves cake,block2,0.17000000000000004,0.77,0.92,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.3623046875,-0.56609375,0.9183593750000001,0.17128906250000003
inform_danny,danny,inform,83,high_prior,Danny loves cake,block2,0.8200000000000001,0.55,0.75,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.14230468750000003,0.08390625000000007,0.7490234375,0.8187500000000001
inform_danny,danny,inform,87,high_prior,Danny loves cake,block2,0.8200000000000001,0.51,0.72,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.10230468749999999,0.08390625000000007,0.719140625,0.8187500000000001
inform_danny,danny,inform,116,low_prior,Danny is a diabetic,block2,0.4300000000000001,0.18,0.19,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.22769531250000002,-0.3060937499999999,0.1912109375,0.4302734375000001
inform_danny,danny,inform,124,high_prior,Danny loves cake,block2,1,0.5,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.09230468749999998,0.26390625,0.998046875,0.998046875
inform_danny,danny,inform,226,low_prior,Danny is a diabetic,block2,0.97,0.26,0.79,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.1476953125,0.23390624999999998,0.7888671875000001,0.9681640625
inform_danny,danny,inform,355,high_prior,Danny loves cake,block2,0.93,0.09,0.84,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,-0.31769531250000005,0.19390625000000006,0.838671875,0.9283203125
inform_danny,danny,inform,437,high_prior,Danny loves cake,block2,0.86,0.75,0.92,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.3423046875,0.12390625,0.9183593750000001,0.8585937499999999
inform_danny,danny,inform,591,high_prior,Danny loves cake,block2,1,0.47,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.062304687499999956,0.26390625,0.998046875,0.998046875
inform_emily,emily,inform,69,low_prior,Emily never has any money,block2,0.18000000000000005,0.02,0.84,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.3876953125,-0.5560937499999999,0.838671875,0.18125000000000005
inform_emily,emily,inform,91,high_prior,Emily has been saving for a year,block2,0.9,0.53,0.92,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.12230468750000001,0.16390625000000003,0.9183593750000001,0.8984375
inform_emily,emily,inform,129,high_prior,Emily has been saving for a year,block2,0.98,0.49,0.99,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.08230468749999997,0.24390625,0.9880859375,0.978125
inform_emily,emily,inform,156,high_prior,Emily has been saving for a year,block2,0.84,0.69,0.83,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.28230468749999993,0.10390624999999998,0.8287109374999999,0.838671875
inform_emily,emily,inform,163,high_prior,Emily has been saving for a year,block2,0.88,0.5,0.01,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.09230468749999998,0.14390625,0.011914062500000001,0.878515625
inform_emily,emily,inform,187,high_prior,Emily has been saving for a year,block2,1,0.49,0.99,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.08230468749999997,0.26390625,0.9880859375,0.998046875
inform_emily,emily,inform,242,low_prior,Emily never has any money,block2,1,0.06,0.9,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.3476953125,0.26390625,0.8984375,0.998046875
inform_emily,emily,inform,260,high_prior,Emily has been saving for a year,block2,0.83,0.35,0.7,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,-0.05769531250000004,0.09390624999999997,0.69921875,0.8287109374999999
inform_emily,emily,inform,263,low_prior,Emily never has any money,block2,0.02000000000000001,0.05,0.05,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.35769531250000003,-0.71609375,0.0517578125,0.021875000000000012
inform_emily,emily,inform,276,low_prior,Emily never has any money,block2,0.98,0.17,0.92,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.2376953125,0.24390625,0.9183593750000001,0.978125
inform_emily,emily,inform,310,high_prior,Emily has been saving for a year,block2,0,0.5,0,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.09230468749999998,-0.73609375,0.001953125,0.001953125
inform_emily,emily,inform,336,low_prior,Emily never has any money,block2,1,0.03,0.57,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.3776953125,0.26390625,0.5697265625,0.998046875
inform_emily,emily,inform,371,high_prior,Emily has been saving for a year,block2,0.91,0.49,0.37,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.08230468749999997,0.17390625000000004,0.3705078125,0.9083984375
inform_emily,emily,inform,419,low_prior,Emily never has any money,block2,0.96,0,0.87,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.4076953125,0.22390624999999997,0.8685546875,0.9582031249999999
inform_emily,emily,inform,469,low_prior,Emily never has any money,block2,0.97,0.01,0.97,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.3976953125,0.23390624999999998,0.9681640625,0.9681640625
inform_emily,emily,inform,502,high_prior,Emily has been saving for a year,block2,0.79,0.51,0.74,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.10230468749999999,0.053906250000000044,0.7390625,0.7888671875000001
inform_emily,emily,inform,521,high_prior,Emily has been saving for a year,block2,0.19999999999999996,0.31,0.96,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,-0.09769531250000002,-0.53609375,0.9582031249999999,0.20117187499999994
inform_emily,emily,inform,524,high_prior,Emily has been saving for a year,block2,0.23,0.75,0.59,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.3423046875,-0.50609375,0.5896484375,0.23105468750000002
inform_emily,emily,inform,529,low_prior,Emily never has any money,block2,0.07999999999999996,0.24,0.81,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.16769531250000003,-0.65609375,0.8087890625,0.08164062499999997
inform_emma,emma,inform,7,low_prior,Emma is in first grade,block2,0.56,0.9,0.74,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.4923046875,-0.17609374999999994,0.7390625,0.559765625
inform_emma,emma,inform,72,high_prior,Emma is in law school,block2,0.86,0.83,0.77,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.42230468749999994,0.12390625,0.7689453125,0.8585937499999999
inform_emma,emma,inform,92,high_prior,Emma is in law school,block2,1,1,1,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.5923046875,0.26390625,0.998046875,0.998046875
inform_emma,emma,inform,126,high_prior,Emma is in law school,block2,0.99,0.49,1,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.08230468749999997,0.25390625,0.998046875,0.9880859375
inform_emma,emma,inform,173,high_prior,Emma is in law school,block2,0.93,0.76,0.79,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.3523046875,0.19390625000000006,0.7888671875000001,0.9283203125
inform_emma,emma,inform,197,high_prior,Emma is in law school,block2,1,0.81,1,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factH,Emma studied on Saturday morning-factH,0.40230468750000004,0.26390625,0.998046875,0.998046875
inform_emma,emma,inform,246,low_prior,Emma is in first grade,block2,0.24,0.26,0.36,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,-0.1476953125,-0.49609375,0.360546875,0.24101562499999998
inform_emma,emma,inform,266,low_prior,Emma is in first grade,block2,0.09999999999999998,0.04,0.68,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,-0.36769531250000004,-0.63609375,0.679296875,0.10156249999999997
inform_emma,emma,inform,342,low_prior,Emma is in first grade,block2,0.98,0.31,0.68,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,-0.09769531250000002,0.24390625,0.679296875,0.978125
inform_emma,emma,inform,350,low_prior,Emma is in first grade,block2,0.99,0.06,0.31,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,-0.3476953125,0.25390625,0.3107421875,0.9880859375
inform_emma,emma,inform,378,low_prior,Emma is in first grade,block2,0.69,0.92,0.44,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.5123046875,-0.046093750000000044,0.440234375,0.6892578125
inform_emma,emma,inform,461,low_prior,Emma is in first grade,block2,0,0.5,0,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,0.09230468749999998,-0.73609375,0.001953125,0.001953125
inform_emma,emma,inform,538,low_prior,Emma is in first grade,block2,0.18000000000000005,0.32,0.1,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,-0.08769531250000001,-0.5560937499999999,0.1015625,0.18125000000000005
inform_emma,emma,inform,590,low_prior,Emma is in first grade,block2,0.8,0.28,0.65,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,-0.1276953125,0.06390625000000005,0.6494140625,0.798828125
inform_frank,frank,inform,26,high_prior,Frank has always wanted a pet,block2,0.6599999999999999,0.5,0.98,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.09230468749999998,-0.07609375000000007,0.978125,0.6593749999999999
inform_frank,frank,inform,107,low_prior,Frank is allergic to cats,block2,0.98,0.19,0.78,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,-0.21769531250000002,0.24390625,0.77890625,0.978125
inform_frank,frank,inform,139,low_prior,Frank is allergic to cats,block2,0,0.01,0,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,-0.3976953125,-0.73609375,0.001953125,0.001953125
inform_frank,frank,inform,164,high_prior,Frank has always wanted a pet,block2,0.13,0.97,0.91,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.5623046875,-0.60609375,0.9083984375,0.1314453125
inform_frank,frank,inform,165,low_prior,Frank is allergic to cats,block2,0.97,0.05,1,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,-0.35769531250000003,0.23390624999999998,0.998046875,0.9681640625
inform_frank,frank,inform,176,high_prior,Frank has always wanted a pet,block2,0.83,0.7,0.9,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.29230468749999994,0.09390624999999997,0.8984375,0.8287109374999999
inform_frank,frank,inform,225,low_prior,Frank is allergic to cats,block2,0.93,0.04,0.93,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,-0.36769531250000004,0.19390625000000006,0.9283203125,0.9283203125
inform_frank,frank,inform,244,low_prior,Frank is allergic to cats,block2,1,0.18,0.86,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,-0.22769531250000002,0.26390625,0.8585937499999999,0.998046875
inform_frank,frank,inform,272,low_prior,Frank is allergic to cats,block2,0.91,0.11,0.75,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,-0.29769531250000003,0.17390625000000004,0.7490234375,0.9083984375
inform_frank,frank,inform,374,high_prior,Frank has always wanted a pet,block2,0.02000000000000001,0.57,0.99,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.16230468749999993,-0.71609375,0.9880859375,0.021875000000000012
inform_frank,frank,inform,424,low_prior,Frank is allergic to cats,block2,1,0.26,0.64,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,-0.1476953125,0.26390625,0.6394531250000001,0.998046875
inform_frank,frank,inform,544,high_prior,Frank has always wanted a pet,block2,0.16000000000000003,0.22,0.51,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,-0.18769531250000002,-0.57609375,0.5099609375,0.16132812500000004
inform_frank,frank,inform,557,low_prior,Frank is allergic to cats,block2,0,0,0,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,-0.4076953125,-0.73609375,0.001953125,0.001953125
inform_frank,frank,inform,559,low_prior,Frank is allergic to cats,block2,1,0,0.82,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,-0.4076953125,0.26390625,0.81875,0.998046875
inform_grace,grace,inform,203,high_prior,Grace loves her sister,block2,0.84,0.97,0.99,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factH,Grace visited her sister-factH,0.5623046875,0.10390624999999998,0.9880859375,0.838671875
inform_grace,grace,inform,258,high_prior,Grace loves her sister,block2,0.96,0.73,0.86,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factH,Grace visited her sister-factH,0.32230468749999996,0.22390624999999997,0.8585937499999999,0.9582031249999999
inform_grace,grace,inform,407,low_prior,Grace hates her sister,block2,0.17000000000000004,0.1,0.23,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factL,Grace visited her sister-factL,-0.30769531250000004,-0.56609375,0.23105468750000002,0.17128906250000003
