item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
admit_charley,charley,admit,26,low_prior,Charley lives in Korea,block2,0.13,0.1,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3288671875,-0.45941406250000005,0.5,0.1314453125
admit_charley,charley,admit,68,low_prior,Charley lives in Korea,block2,0.98,0.17,0.7,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.25886718750000004,0.3905859374999999,0.69921875,0.978125
admit_charley,charley,admit,169,low_prior,Charley lives in Korea,block2,0.45,0.21,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.21886718750000003,-0.13941406250000005,0.978125,0.4501953125
admit_charley,charley,admit,170,high_prior,Charley lives in Mexico,block2,0.20999999999999996,0.97,0.2,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5411328124999999,-0.3794140625000001,0.201171875,0.21113281249999996
admit_charley,charley,admit,187,high_prior,Charley lives in Mexico,block2,0.93,0.94,0.62,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5111328124999999,0.3405859375,0.61953125,0.9283203125
admit_charley,charley,admit,204,low_prior,Charley lives in Korea,block2,0.63,0.26,0.1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.16886718750000002,0.04058593749999995,0.1015625,0.6294921875
admit_charley,charley,admit,275,high_prior,Charley lives in Mexico,block2,0.23,0.98,0.65,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5511328124999999,-0.3594140625000001,0.6494140625,0.23105468750000002
admit_charley,charley,admit,311,low_prior,Charley lives in Korea,block2,0.9,0.02,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.4088671875,0.31058593749999996,0.3904296875,0.8984375
admit_charley,charley,admit,314,high_prior,Charley lives in Mexico,block2,0.51,0.91,0.34,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4811328125,-0.07941406250000005,0.340625,0.5099609375
admit_charley,charley,admit,350,high_prior,Charley lives in Mexico,block2,0.91,0.9,0.93,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4711328125,0.3205859375,0.9283203125,0.9083984375
admit_charley,charley,admit,388,low_prior,Charley lives in Korea,block2,0.99,0.12,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.30886718750000003,0.40058593749999993,0.9880859375,0.9880859375
admit_charley,charley,admit,450,high_prior,Charley lives in Mexico,block2,0,1,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5711328124999999,-0.5894140625000001,0.001953125,0.001953125
admit_charley,charley,admit,504,high_prior,Charley lives in Mexico,block2,0.29000000000000004,1,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5711328124999999,-0.2994140625,0.3904296875,0.2908203125
admit_charley,charley,admit,523,high_prior,Charley lives in Mexico,block2,0.02000000000000001,0.98,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5511328124999999,-0.5694140625,0.8984375,0.021875000000000012
admit_charley,charley,admit,560,high_prior,Charley lives in Mexico,block2,0.71,0.81,0.26,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.38113281250000003,0.1205859374999999,0.2609375,0.7091796874999999
admit_danny,danny,admit,86,low_prior,Danny is a diabetic,block2,0.98,0.19,0.91,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.23886718750000002,0.3905859374999999,0.9083984375,0.978125
admit_danny,danny,admit,89,high_prior,Danny loves cake,block2,0.20999999999999996,0.89,0.81,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.4611328125,-0.3794140625000001,0.8087890625,0.21113281249999996
admit_danny,danny,admit,92,high_prior,Danny loves cake,block2,1,1,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.5711328124999999,0.41058593749999994,0.001953125,0.998046875
admit_danny,danny,admit,127,low_prior,Danny is a diabetic,block2,1,0.08,0.96,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3488671875,0.41058593749999994,0.9582031249999999,0.998046875
admit_danny,danny,admit,173,low_prior,Danny is a diabetic,block2,0.87,0.2,0.41,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.2288671875,0.28058593749999994,0.4103515625,0.8685546875
admit_danny,danny,admit,229,high_prior,Danny loves cake,block2,0.88,0.63,0.63,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.20113281249999998,0.29058593749999995,0.6294921875,0.878515625
admit_danny,danny,admit,304,low_prior,Danny is a diabetic,block2,0.51,0,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.4288671875,-0.07941406250000005,0.001953125,0.5099609375
admit_danny,danny,admit,308,low_prior,Danny is a diabetic,block2,0.7,0,0.42,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.4288671875,0.1105859374999999,0.4203125,0.69921875
admit_danny,danny,admit,389,low_prior,Danny is a diabetic,block2,0.20999999999999996,0.26,0.31,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.16886718750000002,-0.3794140625000001,0.3107421875,0.21113281249999996
admit_danny,danny,admit,407,high_prior,Danny loves cake,block2,0.13,0.55,0.17,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.12113281250000002,-0.45941406250000005,0.1712890625,0.1314453125
admit_danny,danny,admit,411,low_prior,Danny is a diabetic,block2,0.8200000000000001,0.12,0.86,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.30886718750000003,0.2305859375,0.8585937499999999,0.8187500000000001
admit_danny,danny,admit,416,low_prior,Danny is a diabetic,block2,0.65,0.03,0.96,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.39886718750000005,0.060585937499999964,0.9582031249999999,0.6494140625
admit_danny,danny,admit,426,high_prior,Danny loves cake,block2,1,0.6,0.99,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.17113281249999995,0.41058593749999994,0.9880859375,0.998046875
admit_danny,danny,admit,433,low_prior,Danny is a diabetic,block2,0.86,0.08,0.3,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.3488671875,0.27058593749999993,0.30078125,0.8585937499999999
admit_danny,danny,admit,550,high_prior,Danny loves cake,block2,1,0.4,1,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,-0.028867187500000002,0.41058593749999994,0.998046875,0.998046875
admit_danny,danny,admit,580,high_prior,Danny loves cake,block2,0,0.91,0.02,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.4811328125,-0.5894140625000001,0.021875000000000002,0.001953125
admit_danny,danny,admit,582,high_prior,Danny loves cake,block2,0.87,0.67,0.88,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.24113281250000002,0.28058593749999994,0.878515625,0.8685546875
admit_emily,emily,admit,100,high_prior,Emily has been saving for a year,block2,0.27,0.51,0.71,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.08113281249999998,-0.31941406250000004,0.7091796874999999,0.27089843750000003
admit_emily,emily,admit,290,low_prior,Emily never has any money,block2,0.99,0,0.33,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,-0.4288671875,0.40058593749999993,0.3306640625,0.9880859375
admit_emily,emily,admit,341,high_prior,Emily has been saving for a year,block2,1,0.43,0.79,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.001132812499999969,0.41058593749999994,0.7888671875000001,0.998046875
admit_emily,emily,admit,424,high_prior,Emily has been saving for a year,block2,0.20999999999999996,0.25,0.75,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,-0.17886718750000002,-0.3794140625000001,0.7490234375,0.21113281249999996
admit_emma,emma,admit,20,low_prior,Emma is in first grade,block2,0.84,0.02,0.09,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,-0.4088671875,0.2505859374999999,0.0916015625,0.838671875
admit_emma,emma,admit,52,low_prior,Emma is in first grade,block2,0.4,0.18,0.24,3: Emma studied on Saturday morning,Emma studied on Saturday morning,Emma studied on Saturday morning,factL,Emma studied on Saturday morning-factL,-0.24886718750000003,-0.18941406250000004,0.24101562499999998,0.400390625
